aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip,tds_mph,cds_mph,ads_mph
2745,UK_English,UK_English,ROW,6,18,13.928571428571429,8.62473932153252,1,5.04,5.04,0
2745,UK_English,UK_English,ROW,7,18,13.928571428571429,8.62473932153252,1,1.23,1.23,0
2745,UK_English,UK_English,ROW,8,18,13.928571428571429,8.62473932153252,1,1.41,1.41,0
2745,UK_English,UK_English,ROW,9,18,13.928571428571429,8.62473932153252,1,2.79,2.79,0
2927,NA_English,NA_English,BER,1,13,13.928571428571429,8.62473932153252,2,18.57,23.790000000000003,12.36
2927,NA_English,NA_English,BER,10,13,13.928571428571429,8.62473932153252,0,0,0,0
2927,NA_English,NA_English,BER,11,13,13.928571428571429,8.62473932153252,3,4.92,29.01,10.32
2927,NA_English,NA_English,BER,12,13,13.928571428571429,8.62473932153252,0,0,0,0
2927,NA_English,NA_English,BER,13,13,13.928571428571429,8.62473932153252,2,10.59,14.58,0
2927,NA_English,NA_English,BER,14,13,13.928571428571429,8.62473932153252,2,0,9.27,2.85
2927,NA_English,NA_English,BER,15,13,13.928571428571429,8.62473932153252,2,0.5399999999999999,16.41,8.85
2927,NA_English,NA_English,BER,2,13,13.928571428571429,8.62473932153252,3,2.61,7.74,34.410000000000004
2927,NA_English,NA_English,BER,3,13,13.928571428571429,8.62473932153252,3,0.24,12.48,32.07
2927,NA_English,NA_English,BER,4,13,13.928571428571429,8.62473932153252,1,5.7,7.47,0
2927,NA_English,NA_English,BER,5,13,13.928571428571429,8.62473932153252,0,0,0,0
2927,NA_English,NA_English,BER,6,13,13.928571428571429,8.62473932153252,0,0,0,0
2927,NA_English,NA_English,BER,7,13,13.928571428571429,8.62473932153252,4,0,2.4,5.46
2927,NA_English,NA_English,BER,8,13,13.928571428571429,8.62473932153252,3,4.0200000000000005,4.74,34.35
