aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,segment,segment_dur,n_spkrs_clip.st,SpkrType,tds_min.st,ocds_min.st,cds_min.st,ads_min.st,tds_mph.st,ocds_mph.st,cds_mph.st,ads_mph.st
1130,WAR,"NA_English","NA_English",English,M,9,1,2,1,Man,0,0.01,0.01,0,0,0.3,0.3,0
1130,WAR,"NA_English","NA_English",English,M,9,1,2,1,Woman,0,0.153,0.153,0.033,0,4.59,4.59,0.99
1130,WAR,"NA_English","NA_English",English,M,9,10,2,0,Child,0,0,0,0,0,0,0,0
1130,WAR,"NA_English","NA_English",English,M,9,10,2,2,Man,0,0.025,0.025,0.187,0,0.75,0.75,5.61
1130,WAR,"NA_English","NA_English",English,M,9,10,2,2,Woman,0,0,0,0.146,0,0,0,4.38
1130,WAR,"NA_English","NA_English",English,M,9,11,2,1,Child,0,0,0,0.123,0,0,0,3.69
1130,WAR,"NA_English","NA_English",English,M,9,11,2,1,Man,0,0.029,0.029,0,0,0.87,0.87,0
1130,WAR,"NA_English","NA_English",English,M,9,11,2,0,Woman,0,0,0,0,0,0,0,0
1130,WAR,"NA_English","NA_English",English,M,9,12,2,1,Child,0,0,0,0.052,0,0,0,1.5599999999999998
1130,WAR,"NA_English","NA_English",English,M,9,12,2,2,Man,0,0.009,0.009,0.112,0,0.26999999999999996,0.26999999999999996,3.36
1130,WAR,"NA_English","NA_English",English,M,9,12,2,1,Woman,0,0.067,0.067,0.171,0,2.01,2.01,5.130000000000001
1130,WAR,"NA_English","NA_English",English,M,9,13,2,1,Child,0,0,0,0.392,0,0,0,11.76
1130,WAR,"NA_English","NA_English",English,M,9,13,2,1,Man,0,0.202,0.202,0.01,0,6.0600000000000005,6.0600000000000005,0.3
1130,WAR,"NA_English","NA_English",English,M,9,13,2,1,Woman,0,0.058,0.058,0.066,0,1.74,1.74,1.98
1130,WAR,"NA_English","NA_English",English,M,9,14,2,1,Child,0,0,0,0.372,0,0,0,11.16
1130,WAR,"NA_English","NA_English",English,M,9,14,2,1,Man,0,0.059,0.059,0,0,1.77,1.77,0
1130,WAR,"NA_English","NA_English",English,M,9,14,2,0,Woman,0,0,0,0,0,0,0,0
1130,WAR,"NA_English","NA_English",English,M,9,15,2,1,Child,0,0,0,0.395,0,0,0,11.85
1130,WAR,"NA_English","NA_English",English,M,9,15,2,1,Man,0,0.174,0.174,0,0,5.22,5.22,0
1130,WAR,"NA_English","NA_English",English,M,9,15,2,0,Woman,0,0,0,0,0,0,0,0
1130,WAR,"NA_English","NA_English",English,M,9,2,2,1,Child,0,0,0,0.074,0,0,0,2.22
1130,WAR,"NA_English","NA_English",English,M,9,2,2,1,Man,0,0.045,0.045,0.106,0,1.35,1.35,3.1799999999999997
1130,WAR,"NA_English","NA_English",English,M,9,2,2,1,Woman,0,0.165,0.165,0.134,0,4.95,4.95,4.0200000000000005
1130,WAR,"NA_English","NA_English",English,M,9,3,2,1,Child,0,0,0,0.319,0,0,0,9.57
1130,WAR,"NA_English","NA_English",English,M,9,3,2,1,Man,0,0.107,0.107,0.041,0,3.21,3.21,1.23
1130,WAR,"NA_English","NA_English",English,M,9,3,2,1,Woman,0,0.116,0.116,0.041,0,3.48,3.48,1.23
1130,WAR,"NA_English","NA_English",English,M,9,4,2,1,Child,0,0,0,0.179,0,0,0,5.37
1130,WAR,"NA_English","NA_English",English,M,9,4,2,1,Man,0,0.016,0.016,0,0,0.48,0.48,0
1130,WAR,"NA_English","NA_English",English,M,9,4,2,0,Woman,0,0,0,0,0,0,0,0
1130,WAR,"NA_English","NA_English",English,M,9,5,2,1,Child,0,0,0,0.155,0,0,0,4.65
1130,WAR,"NA_English","NA_English",English,M,9,5,2,0,Man,0,0,0,0,0,0,0,0
1130,WAR,"NA_English","NA_English",English,M,9,5,2,0,Woman,0,0,0,0,0,0,0,0
1130,WAR,"NA_English","NA_English",English,M,9,6,2,1,Child,0,0,0,0.388,0,0,0,11.64
1130,WAR,"NA_English","NA_English",English,M,9,6,2,0,Man,0,0,0,0,0,0,0,0
1130,WAR,"NA_English","NA_English",English,M,9,6,2,1,Woman,0,0.811,0.811,0,0,24.33,24.33,0
1130,WAR,"NA_English","NA_English",English,M,9,7,2,1,Child,0,0,0,0.076,0,0,0,2.28
1130,WAR,"NA_English","NA_English",English,M,9,7,2,1,Man,0,0.105,0.105,0.489,0,3.15,3.15,14.67
1130,WAR,"NA_English","NA_English",English,M,9,7,2,1,Woman,0,0,0,0.511,0,0,0,15.33
1130,WAR,"NA_English","NA_English",English,M,9,8,2,1,Child,0,0,0,0.296,0,0,0,8.879999999999999
